authors,comments
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Ree Curties,<b>BISMILLAH GANJAR 2024 !!!</b><br><br><b>YANG SATUNYA POLITIK IDENTITAS</b><br><br><b>YANG SATUNYA LAGI UDAH KETUAAN MASUK USIA 73 TAHUN DI 2024</b>
Hadi Noor,"Jgn pakai kata basmalah klo nonton bokep, bs dobel dosanya 😅😅😅"
Wajun Sadi Uhang,<b>Prabowo RI.1</b> ❤
ANDREAS NOSTAL KRISTIAN HALAWA,"yang dukung pak jokowi, tolong satukan hati dukung ganjar dong"
Bapa Rohim,Gak apa &quot; <br>Silahkan pilih yg disuka <br>Tapi jgn Main hoax
Rohima Tina,"Dulu pilih Jokowi,skrg saya sekeluarga pilih Anies"
Korib Krui,"Tetap Anis,lembaga survey cuma Utak Atik angka,tergatung yang bayar yang dimenangkan."
mamanyatyan Busry,Yg sabar yaaaa
Suradi Suradi,Betuuul
Jarmad Cilok,❤❤❤❤❤ Ganjar Pranowo 👍🤟
JAYA SATRIA,Pak Ganjar keok
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Android Android,mantap  pak ganjar
Saas Juju,Yok bisa yok Ganjar Pranowo penerus legesi Pakde Jokowi.
Karmidi Corp,"nambah hutang, dan kejebak hutang CHINA lagi dong"
Rdn Nids,@Olun Setrum <br>Petugas partai selalu terbukti MENANG 😂
Solder Bengkong,Ntar kita disuruh bermusuhan dgn israel.. Kita damai tenang jadi gk tenang dan damai
Olun Setrum,Petugas partai jd boneka
𝘼𝙨𝙡𝙞 𝙣𝙙𝙚𝙨𝙤,𝘈𝘺𝘰𝘬 𝘨𝘢𝘴𝘴 𝘱𝘰𝘭𝘭 𝘎𝘢𝘯𝘫𝘢𝘳 𝘫𝘢𝘥𝘪 𝘙𝘐 1
Lianto Lianto,Yg Bener Cuma Survai LSI
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Juna Edi,Beda beda hasil survei jd tidak bisa di percaya
Roni Gunawan,Dari dulu pak Ganjar slalu teratas😅sempet merosot karna blunder pildun🤣kalo ngaku2 survey tertinggi sudah psti dihujat🤭
Muhdi Arto,Bravo P G
AL-FATICH CHANNEL,Saya Bukan Orang Partai dan Bukan Politikus dan juga tidak punya harapan apapun dari Capres. Tapi aku lebih Memilih Pak Anies Rasyid Baswedan. Sebagai PRESIDEN 2024 . Sebab Aku ingat Kata2 Mak Banteng . Partainya tidak butuh Suara Dari Umat islam.
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
ABU   JADUL,LO  SURPEINYA  KEBANYAKAN  MENELAN  UANG  HARAM    IBLIS  LAKNATULLOH      SEGERA  DI   TELAN  AJAB   YANG MAHA DAHSYAT  AAMIIN
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Muhana 2002,"Survey abal abal, bayaran"
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Imam Khudori,"Surpai bayaran,"
ABU   JADUL,KECURANGAN   YANG  SUPREI  INI  SEGERA  DITELAN  AJAB  BENCANA  YANG  MAHA  DAHSYAT
ABU   JADUL,@戴小姐 <br>INI  MUBAHALAH  SELURUH  RAKYAT  INDONESIA   UNTUK  SEMUA  KOMPLOTAN   REZIM  JOKOWI  LUHUT  AHOK  PN  JAKPUS  KPU  BAWASLOU  DPR  MPR  SRIMULYANI  DENI SIREGAR  ADE ARMANDO ABU JANDA  NGABALIN   YOQUT  MAHFUD MD  HAKIM  JAKSA  JUGA YANG TERLIBAT KM 50 .  KALIAN  SEMUA PEJABAT2 CEBONG  RONGSOKAN  SEMOGA SEGERA DI TELAN AJAB  DI LAKNAT ALLOH SWT  DI HANCURKAN  SEHANCUR  HANCURNYA    DITELAN AJAB DUNIA AKHIRAT  KUN FAYAKUUN  AAMIIN
ABU   JADUL,@戴小姐 <br>SEMOGA  SEMUA CEBONG DAN  KOMPLOTAN NYA  YANG  SELALU  MENELAN  UANG HARAM  BAYARAN  SOGOKAN  HASIL  GARONG RAJA  HUTANG   SEGERA  DIHANCURKAN  ALLOH SWT  DISERANG  PENYAKIT ANEH  7  PETURUNAN NYA  DI MUSNAHKAN  ALLOH SWT  SEHANCUR  HANCURNYA  AAMIIN
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
戴小姐,😂😂😂😂ati ati kl bencana itu yg akan menelan mu dunnn.
Cahyo Cahyo,Kadrun kepanasan  si anis nyungsep
Imam Al gazali,Mantap GANJAR
Thomas Jefferson Tarigan,Kok surveinya tiap hari beda2..  hebat ya kakek Sugiono..
Badawi Al Khatiri,@Butun Adventure bisa aje sempak kadrun .... Wkwkwkwkwkwk
Butun Adventure,​@Badawi Al Khatiribisa aje panci item 😂😂😂
Heri Alfaridzi,Bohong terus
Yuliana 15,​@Ubai Dillah jongosnya Anies Yaman ini menangis drun Kadrun 😅😅
Sawo Matang,​@Ubai Dillah😂😂😂😂😂 bener bro aku pun katawa... tapi kenapa ya klu Anis wan abut kadal gurun tidak kuat mesan ya.knp ya ada apa dgn kelebihan byar....
Imam Al gazali,MANTAP
Dawin Rotto,"Di survei ganjar selalu tinggi, tp klo blusukan ganjar dicuekin warga"
Dawin Rotto,@Zaky Zaky modal cengar cengir pencitraan kiri kanan mau jadi presiden...ya ampun mimpi di siang bolong
Dawin Rotto,@Zaky Zaky itu fakta...
Zaky Zaky,"​​@Dawin Rotto Iri bilang drunn modal ngibul ingin jdi presiden,ya ampun🥵🥵"
Mawar Merah,Yg dicuwekin ke Pasar kemarin bukannya ANUS....?? ☝️☝️🙈🙈<br>Malah jangkrik2 yg menyabut....!!<br>☝️☝️☝️🤣🤣🤣
Luna Queen,Wkekwkek.....jadi ingat pas wan abud bin sumur resapan dtang k surabaya...sok sokan berjalan d gang...ehhh...warga pda gk gubris 🤣🤣🤣
DREAM Football,Suvei taek
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Bapak Exel,Aminn ganjarku 2024 presidenku
Aries Tampubolon,Ganjar akan kalah jika pak Jokowi masih bermain abu²...
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Arya Bima,Di kampung ku gak ada calon kepala desa cocok buat yg  nmr 3...
Rangga Gupita,Sudahlah. Rakyat sdh paham apa di balik survey ini
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Mahmad Mahmad,Survey kgak bener niee
xnhplfrwmsqbdytg,Ow charta politica yg dulu di survey pilgub dki jkt selalu mengunggulkan ahok.. dan anies selalu di posisi ketiga.. ternyata duaarr survey nya salah total😂😂
Gendis kinasih,"karena ahok kena masalah besar dan bukan muslim sehingga bisa jadi senjadi pendukung anies untuk menyalip, lah sekarang mau apa sama2 muslim semua😄"
Roni Gunawan,@xnhplfrwmsqbdytg itu jawaban buat anda🤣🤭mw digembok mw diiket😅tapi menang 2x kn?🤣🤣🤣🤭
xnhplfrwmsqbdytg,@Badawi Al Khatiri yg penting menang tanpa kardus digembok.. 🤣🤣🤦🤦
xnhplfrwmsqbdytg,@Roni Gunawan tapi menang kan??
xnhplfrwmsqbdytg,@Duta Satu yg penting menang.. daripada kemenangan dari kardus digembok??🤣🤣
Fauzan Ramon,"Wong jateng sdri ganjar kalah,surve slalu di atas Aneh ,,  apalagi jatim,jabar justru saya prediksi Anis menang     surve opo ae iku ,,,!!"
Uswatun Khasanah,Ngertimu opo to dul dul... madang sik ben waras...😃
Badawi Al Khatiri,"Nanti kalau ganjar menang dan pdip hatrick lagi, dituduh curang lagi, fitnah dan hoax lagi, berkata dan berdoa buruk lagi, nyalahin Tuhan lagi, gak percaya takdir Allah SWT lagi, sampe kiamat gitu aja terus kadrun yaman kelakuannya gak tobat2.. Wkwkwkwk... Cuakkss"
Ikbal maulidin Ikbal,Lah waktu di SCTV menayangkan hasil survei Prabowo paling Kokok kenapa sekarang jadi kebalik ya😂
Roni Gunawan,@Ikbal maulidin Ikbal kadrun🤣
Ikbal maulidin Ikbal,@Roni Gunawan bibit kadrun mulai muncul🤣
backbone,Itu khan survey gak lama setelah ganjar diekspos menolak pildun u20 namun setelah ganjar mengklarifikasi dan sudah dicalonkan jd presiden dr pdi perjuangan maka awal bulan ini adalah itu hasilnya yg disurvey
Roni Gunawan,@Ikbal maulidin Ikbal 🤣🤣ya jelas kalah🤭 tapi lawan pak Jokowi ga pernah menang🤣🤭tau kan arah dukungan para pendukung pak Jokowi kmn😅🤭
Ikbal maulidin Ikbal,@Roni Gunawan head to head ganjar tetap kalah karena pak Prabowo jauh berpengalaman di bidang politik
Cah Ijen,GANJAR Insya Allah ditakdirkan jd presiden 2024.
Surya Taufik,@Tomy sampah NKRI. Bukannya grombolan koruptor buzerp pengadu domba.
Tomy,@Surya Taufik bukan hanya benci<br>Sampah NKRI wajib untuk di perangi<br>Sekali lagi WAJIB
Surya Taufik,@Tomy hanya org kuffur yg benci Fron persatuan islam
Mawar Merah,Pak GANJAR tetap capres terbaik....👍👍Pilihan RAKYAT Indonesia yg CERDAS.....!!<br>Insya ALLAH menang &amp; diridhoi ALLAH.<br>AMIN....🤲🤲
Sawo Matang,​@Surya Taufiksyukurlah grombolanmu hancur 2x...
Irfan Pratama,"Ganjar,,josss"
Surya Taufik,Abal abal
Umar Oyoot,Tetep Prabowo
Eki Wahyudi,Pak Anies Is the best
Syafaruddin Rasyid,"saya tetap pilih Ganjar P,yg sempurna dari calon2 yg lain"
La' Viory,Ga mau yg lain tetap bpk Ganjar Pranowo
Rafanda 2018,ora milih
Mawar Merah,Pak GANJAR tetap Capres terbaik....👍👍<br>Pilihan RAKYAT Indonesia yg cerdas....<br>AMIN....🤲🤲
Ubai Dillah,Sempurna dari segi apa tuh ganjar<br>Kikikik yg lebih layak jd presiden 2024 pak Anis baswedan Aamiin
Heppy. Santosa,"Ayo kita dukung ganjar broo,dan semoga prabowo  jadi  wakilnya  ganjar mas brooo."
Mawar Merah,Prabowo itu gengsi jadi wakilnya pak GANJAR....!! ☝️☝️<br>Smg nt dpt wakil yg  lain yg bisa mendongkrak suara lagi smp 51 % lebih buat pak GANJAR spy 1x putaran PEMILU cpt slesai....<br>AMIN....🤲🤲
Dharma Hasibuanb,makin kaya..juragan survei<br>😂😂😂😂😂😂😂😂😂😂
Roni Gunawan,😅terima kenyataan walpn pahit🤣🤭
Sutarjo Geneng,"Alhamdulillah, mantap. Sikap istiqomah dan tidak tergoyahkan, tetap memilih Anies Baswedan. Karena, rakyat ingin kemajuan, rakyat ingin perubahan, perubahan yang lebih baik. Dan Insya Alloh.... yang memilih Anies adalah orang orang pandai, cerdas dan berhati mulia. Salam, akal sehat........ dan perubahan. Semoga, perubahan membawa barokah, untuk kita semua. Aamiin. Terima kasih."
Pak Warjo,Anis itu ibarat merantau jadi merasa enak jadi ketagihan
Karsiono 005,"Sengdirubah nama jalan rumah dakit penggusuran  halte  dll nya janji manis ternya tidak sesuwai  yang diharapkan  warga DKI. buat kecewa aja ,😂😂😂😂😂😂😂"
La' Viory,@Pangat Bador sama
Pak Warjo,Ini hajat bangsa Indonesia yg merasa keturunan Yaman minggir dulu ya
Pak Warjo,Entar klw kalah bilang dicurangi mending dari awal persiapkan diri untuk kalah biar nggak kaget
agus sumarsono,Semoga pak ganjar semakin melesat. Aamiin
R. Endeh Rukmini,Yaya lah orang mikir mah bakal tau kalu menang nya seperti apa.coba jurdil.ayo buktikan.
R. Endeh Rukmini,Heran apa nya yg dilihat.prestasi nya mana kinerja nya apa.ini mah dr rezim.prett.
N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂
Rafanda 2018,melesat kemana tuh
Mawar Merah,Pak sll dihati &amp; sll dinanti di 2024 RAKYAT INDONESIA....smg sukses menuju RI.1....🇮🇩🇮🇩👍👍<br>AMIN....🤲🤲
hadi suwarno,Hadir aku orang solo dukung pak prabowo jadi presiden RI
backbone,Lahh basis.pdip koq bukan pilih ganjar?
"Rini Hermawati,SH","Terserah mau nampilin dan bilang apalah, sing penting 2024 Presiden nya Prabowo...Merdekaaa"
backbone,Karakter prabowo keliatan emosional sehingga klo sdh jd pemimpim akan.mnjdi pemimpin yang otoriter
Herman Sasak,"Ganjar no, anis no"
Vhiki Dismas,Mantap pak ganjar.
Sulistyo Ridho,Ganjar 2024
Ahmad Hazairin,Mark up  !
Yeti Lusiana,"Gamjar Yes. Prabowo no, Anis buang kelaut"
Roni Gunawan,@Rizardi Karnas 🤣FPI PKI HTI ormas bajing*n terlarang🤣arogan perbudakan🤣
Rizardi Karnas,@Roni Gunawan nte masih penasaran di mana PKI....?....lu kan pegonggong PKI pasti tau dong.....
Rizardi Karnas,@Roni Gunawan PKI
Roni Gunawan,@Rizardi Karnas nte masih penasaran ya walpn sering kalah🤣pilihan nte jg bakalan kalah lg sepertinya🤭
Rizardi Karnas,@Roni Gunawan PKI
Agus Wahyudi,Jaman gini kok masih percaya survey..<br>Klo benar kenapa kualisi besar takut sama anis..
Badawi Al Khatiri,"Bukan takut, tapi lagi bikin skenario agar ganjar dan prabowo lawan kotak kosong,alias bakal auto menang mutlak gada lawan nya.siap2 aja lu kadrun yaman bakal dapat kejutan dari nasdem di akhir iniury time nanti... Wkwkwkwk"
Tutty Fruity,Anis bs appah selain menata kata🤔
Cah Ijen,Kalo Anis menang survey baru percaya 😛😛
agus sumarsono,Kampungan sekali jaman modern gini
Yosida Ktalo3,Bergabung bersama pemimpin bangsa yang visioner dan berkarakter. Pemimpin yang bisa mencerdaskan kehidupan bangsa dan ikut melaksanakan ketertiban dunia. Mampu dan sudah teruji. Salam Indonesia Raya bermartabat dan mampu berkarya sesuai dengan karakter bangsa menuju Indonesia Emas 2045. Selamat beraktivitas pak Menhan
BENY BARBAY.,gaspol pk ganjar..salam 🤟
Zaky Zaky,​@Umar Oyoot wan abud nangisssssss 😂😂😂😂😂
Bapa Rohim,Ya jgn berkecil hati <br>Walau survemya konsisten <br>Gak naik&quot;<br>Diururutam paling bwh <br>Ttp semangat
Luna Queen,@Umar Oyoot yg sabar ya bosss...meski wan abud bin sumur resapan selalu terbawah...sya harap tetap semangat....jangan menyerah...siapa tahu kedepannya suaranya makin NYUNGSEP 👍👍👍
fab Bin,@Umar Oyoot 2 periode PDIP menang bersama Jokowi nih bos🤭 selanjutnya diteruskan Pak Ganjar🔥 barisan sakit hati iri dan nyinyir selalu🤭
Roni Gunawan,​@Umar Oyoot hampir semua partai ada koruptornya😅🤭
