authors,comments
ASAL NGOMONG,"DUKUNG GANJAR 👍🏽👍🏽👍🏽<br>MASA KITA MAU DUKUNG ANIES ??? Juga PRABOWO <br><br>MAU TAHU TTG ANIES ??<br>LIHAT SAJA SPT APA YG DIKERJAKAN  GUBERNUR LAMPUNG SAMA2  JD GUBERNUR  TAPI KERJAAN NYA TIDUR2 SAJA  DIATAS DANA APBD  YG DI KUASAI ...<br>HANYA BEDANYA DANA APBD YG ANIES KUASAI ITU LBH GEDE DR DANA GUB LAMPUNG ...<br>UENAK TENAN JD ANIES : DANA 86 TRILIUN/ THN  X 5 THN..HANYA BUAT PATUNG2 / TUGU2 SEPATU , TUGU PETI MATI , REVISI TROTOAR  DI SUDIRMAN DAN SKITARNYA , REVISI JEMBATAN DI DAERAH SUDIRMAN DAN SKITARNYA  , BUAT JIS YA HANYA 1 TRILIUN SAJA , FORMULA E YG TDK MENGUNTUNG KAN  ,  DP O% YG TDK UTK RAKYAT MISKIN ( mana ada rakyat miskin punya gaji 14 juta/ bln , syarat bs beli rusunawa ?? )    , NATURALISASI TDK DI KERJAKAN  alias : 0% , PENDAPATAN 15% SEHARUS NYA DI TERIMA DKI  UTK PENJUALAN REKLAMASI DI HILANGKAN SUMBER DANA TSB , GANTI NAMA JLN N RUMAH SAKIT....ITU SAJA YG DI KERJAKAN, SOAL BANJIR N MACET...NGUMPET DIA<br><br>SDNG KAN MILIH PRABOWO : <br>KATA AHMAD RIZA PATRIA YG MEWAKILI GERINDRA  BERUCAP : <br>RAKYAT INDONESIA HRS DIPIMPIN OLEH MILITER +  BERHUBUNG SKRG NEGARA2 ASING SDH SALING BERPERANG , MAKA MRK MEMPERSIAP KAN NKRI UNTUK IKUT SERTA  BER PERANG JUGA.<br>NAH TERNYATA GERINDRA TDK PUNYA NIAT N AKAL CERDAS JADI PEMIMPIN YG MAMPU IKUT SERTA  MENDAMAIKAN DUNIA...NGERI BUKAN RAKYAT DI KUASAI MILITER + RAKYAT INDONESIA DI KORBANKAN UTK MENGHADAPI PERANG DUNIA KE 3;.<br>GERINDRA SENDIRI  SALAH MENGERTI TTG TUGAS2 SUCI  MILITER  SEBETULNYA UTK MENGAMAN KAN RAKYAT N NEGARA N TURUT SERTA MENDAMAIKAN DUNIA, WAH MASA DEPAN NEGARA INI SUASANA NYA AKAN  TERCEKAM  N DI TAKUT2 I TERUS KLO BEGITU<br>Dan MASA LALU PRABOWO ADALAH TURUT MENGHILANG KAN PARA AKTIVIS 98 YG SAMPAI SKRG TDK TAHU KEBERADAAN KUBURAN MRK....itulah REKAM JEJAK MASA LALU PRABOWO....<br>MAU INDONESIA KAYA MYAMAR ????<br><br>DAN dari  kelompok Anies n Prabowo  TERNYATA  KELOMPOK INI ADALAH KELOMPOK GOLKAR yg di pecah dgn Nama2 Partai Nasdem , Partai Gerindra , Partai Demokrat dll....<br>JD SBETULNYA YG BERTARUNG INI ADALAH : <br>PDI P YG NASIONALIS , YG INGIN NKRI INI MAJU N MAKMUR VS GOLKAR  YG REKAM JEJAK NYA HANYA CINTA TAHTA N  HARTA NKRI."
Biyono,"RAKYAT NGGAK BUTUH SRVEY,RAKYAT HANYA PAK ANIS LAINNYA NGGAK SUNIK"
Nunung Roniah,Presiden 1gk ad noda korupsi korupsinya banyak gimana jdi presiden .presiden itu yg berpendidikan tinggi .dri muda dh cerdas dh berpretasi.di kenal sama dunia berbahasa inggris oke .GK planga plongo.sesama beragama saling menghormati .jdi gubenur rakytnya sejahtera pembangunannya maju.tu Mash ad awal korupsi yaaa
Udin Lumban Raja,Ganjar P
Antoso Djoko,Si rambut putih selalu diatas sambil leyej leyeh nonton film bokep (penderita sosiopath)
ayufri,kok bisa dia yg teratas
Hadi Salim,"Great news, yg penting asal bukan yaman ayat mayat."
A,Bisa 85% jika Pak Ganjar bersanding dengan Deni Siregar atau Ade armando sbg Cawapresnya.👍👍👍🇮🇩🇮🇩🇮🇩
Mustaqien Mustaqien,Amin
Rdn Nids,Bisa 89% bila Pak Anies bersanding dengan Sugik nur sbg cawapresnya 😃😃😃
Su Marman,Bohong terus dasar kena Azab dosa besar
Garam dapur,Tidak menjamin hasil survey akan menentukan hasil akhir
Kucang Lada,Cuan cuan lembaga survey
Infomase,Survey merusak tatanan demokrasi
Nagan Channel,POLITIK
Wahyu O'connor Motovlog,GAS POLL ( GANJAR ALWAYS POKOKNYA LUR ) 😎😎😎😎
Wahyu Bima,Survey ame pooling ki podo rak? Kok kebalikannya hslnya
Awaludin paty Awal,Pak Ganjar adalah kita 👍👍
Hendra Chandra,Survei mah permainan lembaga aja siapa yg paling kuat bayar mereka untuk jualan atau endorse.. media jg sama siapa yg kuat uangnya itu yg di viralkan terus 😂😂<br>Kami sudah tidak mau tertipu lagi mau survei apapun itu
septi ana,Mugo&quot;pak ganjar dadi presiden 2024 amin ya robbal alamin
Pakde War,Pak Ganjar Pranowo memperoleh suara 63% lebih
Pakde War,WASPADALAH  jurus ayat mayat akan tampil kembali. Jangan sampai kenak tipu muslihat dengan berbagai cara dusta
Ridwan Sbg,Gimana Ganjar ndak teratas terus... <br>Kami para pecinta Bokep ya dukung Ganjar krn satu hoby... <br>Bokep semakin terdepan... 😅😅😅😅😅😅
Monyeng Icha,Pendukung wan abud ketar ketir
Nurmala Nur,Tenggelamkan calon rezim ini Sngt berbahaya bgi banggsa n negara.calon rezim pemecah belah vmmt
AdiMulkanny,Media jangan di percaya kata prabowo
airlangga jaya wardana,Anies ya...
airlangga jaya wardana,Anies... Yg terbaik untuk jdi presiden R1
airlangga jaya wardana,Anies yg santun
airlangga jaya wardana,Anies yg pintar
airlangga jaya wardana,Anies yg bersih
airlangga jaya wardana,Anies oke
airlangga jaya wardana,Anies yess
Jejen Jaenudin,"Pilpres dua putaran, pemenangnya prsbowo, pemilih anis di putaran pertama akan memilih prabowo"
adrian channel,Anies yes
Rustam Vivi,Survey abal2 ini
@Ilmy71,"Lembaga survey, mana yg VALID, di poling survey TVONE, capres ANIS UNGGUL,...TERUSS"
jejak tikus,Ini yang ditayangkan selalu survey 3 pasang calon. Yg head to head ditampilkan belakangan😂😂
Heri Alfaridzi,Palsu
Gulo Sona,"Yang penting bukan Anus, eh anis..🤪🤪"
Zulkarnain Kaur,Semoga PDIP dan partai koalisinya serta Pak Jokowi semakin inten utk mengampanyekan Ganjar sbg capres !
Sofyan Wijaya,Survei Survei Bullshit
Amirudin Saleh,Saya yakin pak prabowo presiden di 2024.amin
Ahmad Faizin,"Lembaga survei ini semua gentayangan, seolah olah yg di survei itu benar..!"
Dudi Darmayon,Survei  abal abal... Haram
Dudi Darmayon,Nyatanya  Ganjar  nyungsep
Fudin Nisa,"Tidak percaya,"
Nday 17,😂😂😂😂
Muhamad Ayra,"Ya elah rakyat udah pinter bro mana emas, mana perak"
Muhamad Ayra,Preeetttttt
